Id,Prediction
0,4144859.768647656
1,3430200.785951955
2,3667422.24937237
3,3078998.5831994456
4,4332434.422924984
5,4599847.233066915
6,4432106.368064539
7,2963252.924077494
8,5495688.737435254
9,4141565.421658754
10,4091765.29893206
11,4447347.227796732
12,5623018.191172045
13,4746644.6999097625
14,5104525.392382117
15,3960500.5267359666
16,5867814.0024214815
17,2794784.5601207805
18,4837936.080992148
19,3650561.244073461
20,4850608.7545119105
21,5921475.468883629
22,4952544.61981488
23,5698179.072216214
24,5220127.220340183
25,4375500.120324469
26,4274159.994227355
27,4655454.546156033
28,4926718.6597865485
29,4797273.429097058
30,5917663.821257498
31,2808623.057207675
32,3443215.8998643695
33,6056175.735067249
34,4754352.73996357
35,4895627.304825466
36,3717192.5388323586
37,4739908.832731127
38,4563652.503048199
39,4650418.41951849
40,4496961.524581932
41,3363760.6795093827
42,3808764.9456209796
43,6827941.42741164
44,6214432.951691843
45,3351213.7718919157
46,2445535.270634434
47,3460748.879982559
48,5119128.804074579
49,4894228.067358207
50,5248909.950039356
51,5122218.410592598
52,4258619.064237199
53,2846179.099044148
54,3474309.702914785
55,4925305.579353459
56,5539754.517873718
57,4322602.999775099
58,4715131.846855399
59,4811244.029360685
60,4268791.157022008
61,4594977.68622098
62,2698395.526641531
63,4377607.729318779
64,5172193.922382622
65,7341850.087649379
66,4902397.153484274
67,6785553.382919771
68,5947663.827804789
69,4145799.054481448
70,3913142.9679052453
71,4382769.658801971
72,4172455.0264975503
73,3993759.737091488
74,7183961.471388122
75,5289897.995543454
76,4292975.1987060625
77,4541431.211474395
78,4160982.9621478366
79,4143387.941572821
80,6204837.480010214
81,5061801.154902515
82,4493107.15081997
83,5279321.80427331
84,6965543.325433613
85,3963206.5057075266
86,4935457.668854463
87,4873284.902744841
88,5010392.362189642
89,4846930.981124333
90,5865096.2575913435
91,5246107.493720677
92,4008587.593938252
93,4453207.667850812
94,5959503.812755528
95,4154976.551277175
96,3173096.7705453285
97,4633986.772466449
98,3429865.06535288
99,4783489.557645857
100,5284980.004840065
101,3594236.7983996985
102,4144205.5986612993
103,4556472.095355665
104,5935533.550971462
105,2841615.18294162
106,5190455.479212734
107,5609920.663302585
108,6130312.033608505
109,4377695.7287682
110,4561473.883249239
111,5239222.253955992
112,5121470.62578394
113,4628788.54889738
114,3448202.998732056
115,5516287.490266945
116,2570227.229933904
117,4307419.615761271
118,3237452.6966427392
119,4377002.578243412
120,6031502.9237514185
121,5417299.314453177
122,4981822.821594157
123,6419615.624416776
124,3209820.3050956805
125,2940468.6222212785
126,4801946.459770281
127,3688270.2488869303
128,4668614.943103684
129,3606501.5356375794
130,3086512.9125648434
131,3638076.345729653
132,5781143.715135981
133,2791135.8630356523
134,3341282.9007262536
135,4354233.402438865
136,3408557.1699490612
137,3578487.278960643
138,4372720.324600812
139,3915728.524697645
140,5834898.296718444
141,3620608.411808797
142,5534075.476689947
143,4209594.658377364
144,4835420.838979594
145,3293834.749482926
146,4102945.9137560246
147,3782580.2435063887
148,4689127.280145217
149,5045328.091636077
150,4755078.961226841
151,4362630.963467538
152,6101514.684907414
153,7025457.810529624
154,3853865.3849507147
155,5523094.215091987
156,5283906.676907196
157,5785682.539951781
158,3202541.391527106
159,3500629.827221531
160,3279259.5739601734
161,4993377.657357194
162,5661194.295975487
163,5457279.93845082
164,6926043.187270629
165,5506616.283319832
166,3213318.222386987
167,4049620.7520985086
168,5615190.844545246
169,4780038.811280206
170,4123456.8950668927
171,3315395.691904966
172,3816079.671302711
173,6236995.680230837
174,5862912.984556242
175,4023414.434480361
176,7008365.580209245
177,3906932.769004046
178,4838371.205301215
179,4207440.193571398
180,4883695.814205989
181,3852483.557023184
182,5131399.9914353695
183,4682334.673911682
184,3864163.1412751493
185,3919144.233677448
186,4774168.783762784
187,4863624.185040358
188,6556761.344274029
189,5540219.314679408
190,4415266.4596585585
191,4139897.3070151946
192,6264058.708254314
193,4373482.636212205
194,4039874.948131027
195,4808296.753249283
196,4052983.3727010107
197,3490718.0772122
198,4296605.488701365
199,4685900.980467474
200,5335760.083092266
201,3220621.757378347
202,5601940.6139953565
203,5903765.289975745
204,6201359.437015561
205,5813545.553428409
206,4728287.539622149
207,2891031.820466542
208,4835893.981647717
209,3884417.4627176533
210,5553129.221258307
211,4135465.1522393804
212,4472202.900429304
213,4159018.565980753
214,6324969.862673118
215,2962314.2764587123
216,3585271.586883401
217,5296441.438285605
218,4533062.621452221
219,4154820.742811026
220,6282304.092179075
221,3740442.2931791274
222,5748183.207341866
223,4021902.1245010872
224,4368012.662374294
225,3912995.2238339577
226,4969781.5790874055
227,6073112.865638883
228,3787327.017145933
229,4305113.963348412
230,5087433.018346206
231,6599000.013231154
232,3462748.529951466
233,4465925.573092977
234,3620649.0815314236
235,4328206.6212243615
236,4116369.4598248606
237,3799339.688362676
238,5220744.71644973
239,3827324.1167893866
240,4621192.301308102
241,5248458.706042142
242,2740953.963111496
243,3184726.591115375
244,4802251.581620061
245,6589106.876466845
246,4034707.9729049695
247,4091541.8739672564
248,4811620.039588002
249,5418757.742661992
250,4324896.096186984
251,4951017.682185933
252,5896704.922263258
253,4384618.040645618
254,4191181.4000338144
255,5106705.4066883605
256,4556796.197906438
257,5280948.801500384
258,3168307.3854334354
259,5161196.976988918
260,4295320.880704933
261,4417786.246150676
262,3633493.2357405555
263,3506908.5792714404
264,4187696.616388695
265,4962479.000259471
266,5316791.798075429
267,6224349.877677997
268,4457022.457571315
269,3922725.793760436
270,3557151.81382767
271,5180074.0982259
272,3818589.5866343407
273,5101169.28876682
274,4576225.375781084
275,5284539.926134254
276,6593965.11102303
277,4521378.208284442
278,5574333.754786497
279,4365557.638427566
280,4559910.818383908
281,5790301.9622542225
282,4514304.744432166
283,5207501.453854346
284,4424546.119475364
285,2515072.201685877
286,5559478.141218318
287,3410521.532200906
288,5632388.657629868
289,3105570.178990072
290,3830173.3335813666
291,4317417.453899901
292,3410127.4616045766
293,4650149.987661615
294,4768726.246142031
295,4619896.207248902
296,5671535.446449646
297,5607350.362380226
298,4808885.381870617
299,5009205.718299151
300,3723557.295569596
301,4016649.0770980385
302,5848862.371944651
303,5809651.24186878
304,4971741.300133381
305,5571883.84922342
306,3394473.771743443
307,4932072.931704172
308,3528619.0037915152
309,3101829.930041093
310,4725217.763894382
311,4155426.089052034
312,5305479.393419235
313,4038370.1899178056
314,3817457.437824567
315,3288870.795889305
316,3918802.1837181575
317,4886135.2867034245
318,6038262.178721578
319,5228705.173725185
320,5685177.419988179
321,4168493.696607443
322,4139651.7996737054
323,4225715.805575735
324,5101130.584951505
325,5496349.305594132
326,6233111.716699849
327,3295843.7917124745
328,4631091.319418279
329,5899267.137697179
330,3405106.715636491
331,6212089.444967114
332,5286735.303690888
333,5517996.373857057
334,6054451.8245584695
335,4799029.603140576
336,3683805.491992945
337,4895226.6809145175
338,3924142.3069748925
339,3991934.876008245
340,3917026.5130712045
341,3810412.6680259136
342,4105326.0802631723
343,4148056.087247072
344,5315224.9020000305
345,4591283.812518609
346,3350069.4249924705
347,5880939.953276063
348,5313273.060717254
349,5269739.6837238455
350,3955280.071924123
351,4879239.6839783145
352,5982700.746929384
353,3283755.521506888
